Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,N,HyLeak
8,10,0.5219644094817829,1.1141957012155352,0.530859047072765,1.123585024426565,1.4672370217986697,1.469191828556996,1.4629944672727844,1.464057987699377,1.937125345497136,1.0032874548721358,1.100368150143142,999936,1.9529379397017932
16,10,0.7125874457819081,1.0962663226927851,0.7165057003848893,1.1002541459297357,1.2468989567003477,1.246984557002136,1.2456378530556769,1.245675246413072,1.5672313431092046,1.1003123977967046,1.100368150143142,999936,1.5699346423968232
32,10,0.8721701876607038,1.0872442273062617,0.873180619541125,1.0883508931386103,1.1711288247592957,1.1711503111440829,1.171183892876463,1.1712245159768744,1.3476784129268964,1.1142189402706464,1.100368150143142,999936,1.3537857081694011
80,10,1.0526986529051727,1.1322815048914474,1.0529232330359564,1.1325080187003838,1.137934397945853,1.1379354986651835,1.1379262033107338,1.137927674202558,1.1957894472601556,1.1024056581976556,1.100368150143142,999936,1.2005949249451413
8,11,0.5092403464486727,1.0645277809345246,0.5172810936468205,1.0727827906272511,1.4528148306152526,1.4541734333388605,1.447364436399259,1.44884728412009,1.939775263720373,1.005937373095373,1.100368150143142,999936,1.9685667013222736
16,11,0.6908234973194919,1.0446639117436327,0.6944351811028597,1.0480601365407076,1.245755434007504,1.2458867669301057,1.2438867356128225,1.2439860897044426,1.5906411704382428,1.1237222251257428,1.100368150143142,999936,1.5852487735969047
32,11,0.8675877432566171,1.0820395505941078,0.8683317094938717,1.082743700276822,1.164075390549893,1.1641968468711277,1.162993731784997,1.1629917238648602,1.3565177658049503,1.1230582931487003,1.100368150143142,999936,1.3500819133271826
80,11,1.2082612098064882,1.2081357351007351,1.2166865932673807,1.216687158299412,1.1342700266254977,1.1343138272747375,1.1342153647572362,1.134261295821582,1.1988376105385257,1.1054538214760257,1.100368150143142,999936,1.180038503860663
8,12,0.5673549370466676,1.181825783547379,0.578315480344543,1.1933156458932543,1.4887277655184654,1.4908264316683817,1.4902794448572512,1.4914260672051165,1.9611048093721148,1.0272669187471148,1.100368150143142,999936,1.9186839590835258
16,12,0.7064301191224414,1.0799239789393795,0.7104941659548041,1.0838409192332816,1.247235152388559,1.2473987358043992,1.2483291612231888,1.2484610608705642,1.5865344735499525,1.1196155282374525,1.100368150143142,999936,1.5878332433975428
