Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,HyLeak
120,10,2.4465267965524897,2.542168463219157,2.4465267965524897,2.542168463219157,2.4465267965524897,2.542168463219157,2.4465267965524897,2.542168463219157,2.542168463219157,2.4465267965524897,2.5230596327329726,2.52171428744
12,11,1.7669241927842452,2.7231814832358365,1.7220172955053872,2.620928904336989,2.382507580174773,2.628282390745833,2.4030538406229214,2.6489852507450005,2.723157092041835,1.7667404253751684,2.5230596327329726,2.51979002074
24,11,2.1871603269967093,2.620614515379517,2.623256815696453,2.623332549896781,2.4703962070314063,2.605777215057202,2.47093690972316,2.606377918878594,2.616679926834532,2.138471593501198,2.5230596327329726,2.52085905784
48,11,2.351448696844701,2.570575777950551,2.3512282291905606,2.5702576383779427,2.358154580382377,2.569894283378095,2.3581586673503936,2.5699030124558075,2.5700804970930875,2.330976330426421,2.5230596327329726,2.52139357634
120,11,2.447289548684797,2.542931215351464,2.447289548684797,2.542931215351464,2.4472895486847954,2.5429312153514627,2.4472895486847954,2.5429312153514627,2.542931215351464,2.447289548684797,2.5230596327329726,2.52171428744
12,12,1.783829641368013,2.7400869318196044,1.739103224331973,2.6372546158676724,2.5513085808330875,2.644645135488707,2.568899287697638,2.662658700852766,2.740060349860276,1.7836436831936089,2.5230596327329726,2.51979002074
24,12,2.1587921588433585,2.6246173069885,2.6276620567961264,2.627734221404575,2.477214534329669,2.6127025546259603,2.4782028249705386,2.6134885510935217,2.6229749496956467,2.1447666163623134,2.5230596327329726,2.52085905784
48,12,2.359945162149584,2.5723956452860843,2.3595931713804217,2.571896918305572,2.5264642382365654,2.571624406690898,2.5265253769268257,2.571687887479312,2.571720768474956,2.332616601808289,2.5230596327329726,2.52139357634
120,12,2.446302066202811,2.541943732869478,2.446302066202811,2.541943732869478,2.446302066202809,2.541943732869476,2.446302066202809,2.541943732869476,2.541943732869478,2.446302066202811,2.5230596327329726,2.52171428744
12,13,1.779484725275901,2.735742015727492,1.739455223977527,2.639075003932307,2.546609807961885,2.639173236142068,2.5634827963620577,2.656732621658658,2.7357148578355064,1.7792981911688397,2.5230596327329726,2.51979002074
24,13,2.193851963497844,2.6208236896883195,2.627869723454603,2.627921893482727,2.469202118861752,2.605216344525869,2.470381811292396,2.606386342464412,2.6164369914351173,2.138228658101784,2.5230596327329726,2.52085905784
48,13,2.3630491934237474,2.571532390517299,2.3621961562367715,2.570514467300784,2.3579847978179367,2.5705394879500614,2.3579721978007067,2.5705352095613447,2.570720691143328,2.3316165244766616,2.5230596327329726,2.52139357634
120,13,2.444605397181056,2.5402470638477226,2.444605397181056,2.5402470638477226,2.444605397181056,2.5402470638477226,2.444605397181056,2.5402470638477226,2.5402470638477226,2.444605397181056,2.5230596327329726,2.52171428744
12,14,1.756999894102557,2.713257184554148,1.699659019814565,2.5940369620265646,2.522893941458809,2.6155669196652926,2.542894865299272,2.6367164640737104,2.713238042067019,1.756821375400352,2.5230596327329726,2.51979002074
24,14,2.152221844347019,2.6185011975606374,2.624330660411416,2.6244001799036107,2.471908265545588,2.6073296479458468,2.4735661402523026,2.608889762618752,2.616880388925261,2.138672055591928,2.5230596327329726,2.52085905784
48,14,2.345194849403786,2.5690314917566366,2.3450604118609446,2.568827979882184,2.3295630541160746,2.568667220782741,2.3295630541160746,2.568667220782741,2.568667220782741,2.3295630541160746,2.5230596327329726,2.52139357634
120,14,2.4445941410543672,2.540235807721034,2.4445941410543672,2.540235807721034,2.4445941410543672,2.540235807721034,2.4445941410543672,2.540235807721034,2.540235807721034,2.4445941410543672,2.5230596327329726,2.52171428744
12,15,1.7756263669980608,2.7314058473444964,1.7247320679884288,2.62015826479288,2.539094974079866,2.632230002749591,2.5572754855032462,2.650843561213298,2.731316676787124,1.774900010120457,2.5230596327329726,2.51979002074
24,15,2.1529861152962213,2.6191518342239224,2.6230953720859844,2.6230688600005903,2.4727931770169707,2.6081517746898784,2.475511613701745,2.6109131601469024,2.6175913969278337,2.1393830635945004,2.5230596327329726,2.52085905784
48,15,2.356432719700335,2.571285391084513,2.3562698304871854,2.5710123709507657,2.3315711842460627,2.5706753509127287,2.3315711842460627,2.5706753509127287,2.5706753509127296,2.331571184246063,2.5230596327329726,2.52139357634
120,15,2.4445750320356168,2.540216698702284,2.4445750320356168,2.540216698702284,2.444575032035616,2.5402166987022827,2.444575032035616,2.5402166987022827,2.540216698702284,2.4445750320356168,2.5230596327329726,2.52171428744
12,16,1.783777797284686,2.739716494602693,1.7263594083798643,2.622161341979502,2.393910514874236,2.6403081839054905,2.413739992832079,2.659601512609709,2.739639666877454,1.7832230002107874,2.5230596327329726,2.51979002074
24,16,2.1564989598707034,2.622097337152651,2.6281399882028187,2.628192561402974,2.4720634319442656,2.6073062996643035,2.473759409875905,2.6090553560767105,2.620407962168523,2.142199628835189,2.5230596327329726,2.52085905784
48,16,2.35456800708416,2.568875061645911,2.36401465211313,2.568402778535074,2.329150229061608,2.568254395728274,2.329150229061608,2.568254395728274,2.5682543957282755,2.329150229061609,2.5230596327329726,2.52139357634
120,16,2.4453041895838274,2.5409458562504943,2.4453041895838274,2.5409458562504943,2.445304189583823,2.54094585625049,2.445304189583823,2.54094585625049,2.5409458562504934,2.4453041895838266,2.5230596327329726,2.52171428744
