Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,N
120,17,2.446070003614142,2.541711670280809,2.446070003614142,2.541711670280809,2.4460700036141394,2.5417116702808062,2.4460700036141394,2.5417116702808062,2.541711670280808,2.446070003614141,2.5230596327329726,1000000
12,18,1.7106968527058508,2.6105692354527785,1.7256490835193765,2.6264440833269806,2.539010675519195,2.632728561750356,2.5502073674910224,2.643753346430335,2.7229348388300387,1.766518172163372,2.5230596327329726,1000000
24,18,2.618007055550351,2.616407714067562,2.6194599355218866,2.61948457867711,2.4709376537250907,2.606499892890972,2.4725863114372815,2.6078544702794857,2.615842370529922,2.1376340371965887,2.5230596327329726,1000000
48,18,2.4585367607152375,2.566968038181182,2.4591876390067124,2.5676193618873158,2.3288033369172,2.567907503583867,2.3288033369172,2.567907503583867,2.5679075035838705,2.328803336917204,2.5230596327329726,1000000
120,18,2.4448911372866733,2.54053280395334,2.4448911372866733,2.54053280395334,2.4448911372866724,2.5405328039533392,2.4448911372866724,2.5405328039533392,2.54053280395334,2.4448911372866733,2.5230596327329726,1000000
12,19,1.6792897099746373,2.573628376163829,1.6949831493401306,2.5898036271793288,2.512877951813955,2.6061496486824263,2.5318515141322933,2.6250271651039485,2.7108618157934012,1.7544451491267345,2.5230596327329726,1000000
24,19,2.6171739868644077,2.615834211077909,2.619375050062747,2.619404628917773,2.4676199076940413,2.603550963084157,2.4681093872539477,2.6039839015578776,2.612739421338384,2.1345310880050508,2.5230596327329726,1000000
48,19,2.3310062687574047,2.566908804082753,2.3315112258801878,2.5674322587950686,2.3556211986999496,2.5672668583269505,2.355641671514938,2.5672633650802914,2.5676139641109987,2.3285097974443323,2.5230596327329726,1000000
120,19,2.4437872265466445,2.5394288932133113,2.4437872265466445,2.5394288932133113,2.4437872265466445,2.5394288932133113,2.4437872265466445,2.5394288932133113,2.5394288932133113,2.4437872265466445,2.5230596327329726,1000000
12,20,1.6705382748745328,2.5607085464164796,1.6854239791847803,2.576245421549743,2.510805110814435,2.6045767071626256,2.5359010366417647,2.629369005906456,2.7125827444892643,1.7561660778225976,2.5230596327329726,1000000
24,20,2.6146983020860475,2.613861001809318,2.616370441985856,2.616305678287242,2.461424280313735,2.5972400269214933,2.4633083900220205,2.599208958130245,2.611975319470245,2.1337669861369117,2.5230596327329726,1000000
