Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,HyLeak
64,3,1.341482342517407,1.5793857498181223,1.2172644562551505,1.3062092999497552,1.3247517251762275,1.3247504615934589,1.3247726264417592,1.3247796534466358,1.563638199131404,1.3216872103618726,1.2958793655776455,1.532399820667217
160,3,1.3784946483879748,1.4573850630272176,1.5144740214154733,1.5144746918750909,1.321783529034669,1.3217840796933376,1.3217946778902527,1.321793504048275,1.4071923931103465,1.3104119976025337,1.2958793655776455,1.3924671383870797
16,4,1.3595127743098507,2.2176413596545848,0.9983404649347232,1.3441708260642644,1.507034790298675,1.506908683515032,1.5056145101047178,1.5056723733000863,2.112683730356068,1.1448797752779427,1.2958793655776455,2.132876016845856
32,4,1.3712120721893435,1.825513994660192,1.1370452808727904,1.3126302936606504,1.3548995058222344,1.3548960080707408,1.35457115137824,1.3545388250527064,1.7699148379968417,1.2860128604577792,1.2958793655776455,1.772611039780901
64,4,1.3299541487129574,1.5686562020639536,1.206198649324142,1.3018025997947438,1.3207937232268585,1.3207962446508827,1.3207272380185098,1.3207193801031651,1.5556821699609262,1.313731181191395,1.2958793655776455,1.55088340456693
160,4,1.391461976144471,1.464554288233639,1.5228943610167875,1.5228930467343167,1.3197501552829232,1.3197508956992965,1.3197436734701038,1.3197430211198755,1.4070665255203902,1.3102861300125777,1.2958793655776455,1.3801922754423963
16,5,1.324365271990906,2.19679993498953,0.9848329925539834,1.3518112125962505,1.5037702671843354,1.5038030500970454,1.5025841626935357,1.5025326396262466,2.1060925482720725,1.1382885931939477,1.2958793655776455,2.130094803239682
32,5,1.3679565196003505,1.82276663892114,1.1415104013667745,1.3098895213558246,1.3588764385344274,1.3588906215151448,1.358447457903445,1.358454721490009,1.7691447449584707,1.2852427674194082,1.2958793655776455,1.7686161840513657
64,5,1.3323346359755208,1.5711589273271491,1.2727506753490334,1.3218750219110842,1.3212898020138395,1.321302060282059,1.3211865281920538,1.3211842288359334,1.5587834918402823,1.316832503070751,1.2958793655776455,1.5474153535947557
160,5,1.3738645697683238,1.452830809976291,1.5108668726836612,1.510866971070056,1.3164424589275283,1.3164425402449995,1.3164504833368549,1.316451358964773,1.402404480531132,1.3056240850233194,1.2958793655776455,1.386110883505833
16,6,1.3616731165574074,2.229523808911411,1.0124493125349467,1.389751438993255,1.543243619422412,1.5432782966646608,1.5409619887825745,1.5409737808743749,2.134742718550717,1.1669387634725918,1.2958793655776455,2.124682859210292
32,6,1.3777402525767122,1.835531054320512,1.1725028662289152,1.343306897647524,1.387246219392709,1.38725222039924,1.3866398090961132,1.3866268114224842,1.7865278242914346,1.302625846752372,1.2958793655776455,1.7712168521996583
