Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller,GT,N,HyLeak
62,4,2.5373759323912046,2.5390520016415388,2.538452757236314,2.5384809265660104,2.447056549256576,2.513194590089717,2.4518908864752875,2.5181765879170386,2.531535693730177,2.290084080826952,2.4693653206793336,1000000,2.4661247475661394
155,4,2.4954515584273107,2.495516004438317,2.49600213351179,2.4960020339322706,2.3994454515511503,2.4948470122728144,2.3994466387570466,2.49485299643267,2.4950310572637253,2.398450412102435,2.4693653206793336,1000000,2.4661243154247563
15,5,1.6634564684860866,2.5902685572858477,1.6772417633019152,2.6033251525227303,2.576866519439212,2.578240466247004,2.6072284599439617,2.6085391069634483,2.734485084407832,1.736485084407832,2.4693653206793336,1000000,2.463328534463584
31,5,2.2643726496466656,2.522444771402196,2.273925085329111,2.531760163064181,2.53983843729386,2.550274108575352,2.55525931093906,2.5655699727713217,2.599664971103465,2.1167617452970133,2.4693653206793336,1000000,2.4638640932320253
62,5,2.5391288046453817,2.539938372242227,2.540065727279818,2.5400946958935657,2.447745132646323,2.515742394669031,2.452453409286155,2.5202853162226453,2.5336572611719683,2.2922056482687427,2.4693653206793336,1000000,2.4663773306433576
155,5,2.492188141735193,2.4923291850609206,2.492768405381502,2.492764006267159,2.473899532184692,2.491819602227802,2.473928514136523,2.491850279418013,2.49212452344346,2.395543878282169,2.4693653206793336,1000000,2.4668051070648107
15,6,1.631290412761388,2.554541660560693,1.644358786167467,2.567972975356276,2.5715924750996377,2.5738007666948017,2.6061223573599324,2.607209610113435,2.721193497985632,1.7231934979856318,2.4693653206793336,1000000,2.464647204173576
31,6,2.154404487421119,2.507985421741924,2.1624193740662325,2.516243074018037,2.52946729784197,2.5396403546475144,2.5434168847554264,2.5536317707748792,2.592716708305579,2.1098134824991277,2.4693653206793336,1000000,2.4650975353577493
62,6,2.534540742244417,2.534382057267241,2.537925923041731,2.537910728109998,2.446388815345168,2.51213764515404,2.4502052468846784,2.51595377816515,2.529483330918435,2.288031718015209,2.4693653206793336,1000000,2.4652224823214377
155,6,2.476402815286712,2.490409701154078,2.4771827175899124,2.491276275803002,2.47431392381188,2.490381195958077,2.4744618985264557,2.490512581942122,2.491136149142302,2.394555503981012,2.4693653206793336,1000000,2.467166545944889
