Nx,trial,ChaoFOM,ChaoFON,ChaoFRM,ChaoFRN,ChaoIOM,ChaoION,ChaoIRM,ChaoIRN,empirical,miller
12,3,208.16434359550476,200.59209036827087,206.8062834739685,207.9998812675476,18.971108198165894,31.066041946411133,32.42409920692444,29.113766193389893,0.0035202503204345703,0.0035517215728759766
24,3,177.10114216804504,178.22834467887878,197.53835892677307,186.95610284805298,21.335031270980835,24.66129732131958,25.124614477157593,24.74066472053528,0.007081031799316406,0.00708317756652832
60,3,185.86709117889404,184.7636170387268,187.6128385066986,186.17943263053894,11.378199100494385,11.44789457321167,11.451716899871826,11.408089876174927,0.007630348205566406,0.007671833038330078
6,4,146.06870532035828,166.24423694610596,173.50879192352295,220.3103084564209,18.26024627685547,29.948724269866943,29.560317039489746,22.304330348968506,0.006013393402099609,0.006044864654541016
12,4,221.635728597641,220.15612053871155,195.46236753463745,188.57455325126648,29.967435121536255,20.4890878200531,37.26053190231323,20.601361989974976,0.006540536880493164,0.006559133529663086
24,4,214.33621335029602,193.50047302246094,234.15751671791077,233.92400431632996,29.692070960998535,28.312077283859253,29.253134965896606,28.894501209259033,0.007346153259277344,0.007595062255859375
60,4,162.7377369403839,216.42727136611938,221.63900923728943,210.82040357589722,12.706849813461304,12.859822273254395,13.259077072143555,12.773735523223877,0.0076677799224853516,0.004146099090576172
6,5,203.9115605354309,176.04416918754578,146.92195057868958,242.1659872531891,36.69651436805725,37.27381420135498,38.81506323814392,38.905996322631836,0.005927562713623047,0.005995512008666992
12,5,246.77931594848633,177.58504557609558,249.85210847854614,246.11765503883362,34.47630763053894,34.673532009124756,34.808030128479004,34.743430852890015,0.0067901611328125,0.0067174434661865234
24,5,171.9790642261505,150.47085189819336,189.603182554245,189.57065773010254,14.322428226470947,23.340791940689087,23.83919358253479,14.452539920806885,0.007138490676879883,0.007162332534790039
60,5,217.69944405555725,150.15216255187988,219.09854197502136,217.71824145317078,11.86667799949646,11.559026718139648,12.343015193939209,11.633665084838867,0.007620096206665039,0.007671356201171875
6,6,264.84518003463745,264.4083511829376,267.71882677078247,266.1266429424286,31.720218658447266,30.239584922790527,32.2671263217926,30.684916019439697,0.005934238433837891,0.005834817886352539
12,6,183.63577318191528,175.14256358146667,182.33216619491577,150.24345445632935,31.371224880218506,31.32962703704834,31.48849058151245,31.270347833633423,0.00669407844543457,0.006735563278198242
24,6,217.90913081169128,209.489089012146,219.13998985290527,161.94918155670166,28.63277506828308,27.997681856155396,28.949808597564697,28.876556158065796,0.007052421569824219,0.007102012634277344
60,6,209.23280882835388,197.16685938835144,218.7327389717102,216.15423774719238,10.144905805587769,18.085707664489746,11.851827621459961,18.216530084609985,0.007894277572631836,0.00794529914855957
6,7,104.84095358848572,139.45546412467957,96.6343743801117,144.0842423439026,37.367602825164795,35.21865391731262,32.32140374183655,35.72449469566345,0.0057489871978759766,0.005840778350830078
12,7,263.22589230537415,212.50576329231262,234.13995695114136,249.5851926803589,30.70449924468994,25.130884647369385,21.77760362625122,33.21216654777527,0.0037708282470703125,0.003741741180419922
24,7,159.26115608215332,205.0083873271942,183.8854010105133,206.0283546447754,23.550448656082153,14.102001190185547,23.923404455184937,22.840237379074097,0.007442951202392578,0.0075473785400390625
60,7,201.23322010040283,171.6574263572693,156.61024355888367,200.36694264411926,9.21032977104187,15.489727258682251,9.031944990158081,15.965847730636597,0.007539272308349609,0.007573604583740234
6,8,121.84827065467834,108.98373103141785,97.76178455352783,135.3097107410431,32.32833528518677,19.65354084968567,19.720699548721313,22.97164034843445,0.003098726272583008,0.0031027793884277344
12,8,248.181631565094,232.81139588356018,235.88674235343933,258.26556944847107,19.17368721961975,31.578450202941895,23.559865474700928,19.111887216567993,0.0035223960876464844,0.0035181045532226562
24,8,201.72344613075256,197.48062109947205,197.51671862602234,199.3894772529602,22.134480476379395,21.859391450881958,22.473572969436646,22.16590428352356,0.007178306579589844,0.007334232330322266
60,8,145.8129072189331,172.39864230155945,102.01987624168396,179.75504660606384,7.703200578689575,12.47967791557312,12.313124418258667,7.896637439727783,0.004246950149536133,0.004289865493774414
6,9,247.04146194458008,247.38462471961975,249.90027475357056,252.53027200698853,29.165510654449463,21.35749578475952,35.68957042694092,19.906548738479614,0.005686044692993164,0.0057220458984375
12,9,157.07706451416016,277.80001759529114,254.02915000915527,254.2217936515808,18.351829290390015,23.824774503707886,18.504515886306763,26.277050971984863,0.0067636966705322266,0.006781816482543945
24,9,211.43489146232605,141.87098145484924,223.18632292747498,222.60795855522156,24.96794033050537,24.841904640197754,25.070521593093872,25.111106634140015,0.0040013790130615234,0.003975391387939453
60,9,180.21099281311035,210.60918259620667,200.03467845916748,180.82824873924255,20.15821933746338,20.14188814163208,20.141218185424805,20.23328924179077,0.007668733596801758,0.0076618194580078125
6,10,226.97683143615723,226.81501054763794,230.14613437652588,190.1105649471283,35.23093819618225,33.317649126052856,35.641703605651855,33.89057183265686,0.0056154727935791016,0.005669355392456055
12,10,196.45774340629578,206.02585983276367,179.87286400794983,183.16641402244568,19.5652015209198,29.497305870056152,27.38119387626648,19.807819366455078,0.006716251373291016,0.006777048110961914
24,10,173.94382977485657,208.86338686943054,141.38213539123535,209.22022461891174,16.38205647468567,13.386010646820068,22.675898790359497,13.362707614898682,0.007149219512939453,0.007169008255004883
60,10,106.34390425682068,188.29029321670532,145.85917139053345,157.65335321426392,9.291928768157959,14.26514720916748,10.000250339508057,11.83427357673645,0.007763862609863281,0.007761240005493164
6,11,158.02792835235596,151.32943630218506,219.25256419181824,185.01282715797424,19.390000581741333,32.655498027801514,19.52995777130127,21.28076720237732,0.005930423736572266,0.005980491638183594
12,11,215.24108934402466,139.96473908424377,141.58463382720947,237.46248722076416,23.3007972240448,20.61197781562805,35.13924431800842,20.486037254333496,0.003579854965209961,0.003602266311645508
24,11,180.6293637752533,139.0020534992218,182.55807971954346,180.01655554771423,24.374284505844116,24.313533067703247,24.487463235855103,24.47932505607605,0.00712132453918457,0.007154941558837891
60,11,192.0226125717163,221.0670793056488,237.38074707984924,214.35394978523254,17.525915384292603,18.60499405860901,17.61900568008423,17.864485025405884,0.007744789123535156,0.007740497589111328
6,12,88.14005446434021,128.475439786911,124.00770616531372,114.68446588516235,29.49280309677124,29.494874000549316,29.952845335006714,30.064313411712646,0.005721092224121094,0.005728721618652344
12,12,233.74333786964417,165.10687255859375,216.25692868232727,205.6395628452301,21.739444494247437,33.13988757133484,34.02990913391113,33.33510208129883,0.006533384323120117,0.00661468505859375
24,12,258.3979501724243,171.4814591407776,210.7688910961151,201.557275056839,25.702861785888672,24.658745765686035,25.04080605506897,25.643693208694458,0.007460832595825195,0.0075037479400634766
60,12,201.3997926712036,139.41769433021545,209.65565872192383,204.8896939754486,12.84367036819458,12.987110137939453,7.996175050735474,12.91766095161438,0.008645057678222656,0.008437633514404297
6,13,215.340270280838,226.17391705513,207.80928826332092,203.66375517845154,21.79908275604248,30.484988927841187,28.041173219680786,30.73681902885437,0.0030798912048339844,0.003101825714111328
12,13,282.6735460758209,192.49849724769592,278.01485562324524,268.5675723552704,32.65055012702942,32.60738778114319,32.95219111442566,32.91066908836365,0.006468057632446289,0.006494760513305664
24,13,168.40893816947937,196.09460139274597,196.78717136383057,155.70444512367249,16.851526975631714,25.969319343566895,27.07564878463745,16.172885179519653,0.007085084915161133,0.007153749465942383
60,13,182.8325424194336,167.2153081893921,248.96106505393982,179.14813423156738,12.51536750793457,12.457274913787842,12.592066526412964,12.50703763961792,0.0077364444732666016,0.007716655731201172
6,14,180.07287526130676,238.15449929237366,244.6271848678589,243.94368600845337,22.292888402938843,29.145936012268066,29.482964754104614,25.52903914451599,0.005640268325805664,0.005642414093017578
12,14,191.71957397460938,236.55427193641663,280.3984055519104,291.4730226993561,28.35633134841919,28.25970983505249,28.463133811950684,28.609866857528687,0.006430387496948242,0.0064585208892822266
24,14,213.8946237564087,167.097181558609,166.7190761566162,213.7801718711853,23.9570415019989,22.69985270500183,24.89325475692749,24.14349627494812,0.006936550140380859,0.006944417953491211
60,14,145.21920442581177,221.47791028022766,174.60734009742737,207.41404819488525,11.665653944015503,11.545437335968018,11.71910285949707,11.66086483001709,0.008042335510253906,0.00809931755065918
6,15,212.78888463974,190.99080872535706,256.2387857437134,212.0475218296051,19.009815454483032,33.28452444076538,32.05338454246521,32.55462121963501,0.005620002746582031,0.0056493282318115234
12,15,256.87214255332947,241.5382785797119,257.7054932117462,215.65314102172852,27.4868221282959,28.75091004371643,18.60265588760376,31.585472106933594,0.006582021713256836,0.006566286087036133
24,15,318.8024322986603,328.075236082077,231.35515236854553,252.74441051483154,26.612106323242188,26.29183030128479,27.01420521736145,26.46025848388672,0.003966569900512695,0.003997802734375
60,15,218.52471828460693,218.02252531051636,219.50169944763184,216.0836410522461,15.226534843444824,15.202836275100708,12.78873085975647,15.255263566970825,0.008063316345214844,0.00800180435180664
6,16,223.0432734489441,217.0419991016388,226.97776007652283,223.53839087486267,31.75633692741394,27.957947254180908,20.49623417854309,20.534919500350952,0.0031719207763671875,0.003176450729370117
12,16,247.03954911231995,148.5005226135254,210.34120917320251,248.29819512367249,19.600757598876953,30.42767310142517,18.086145162582397,29.148508548736572,0.0035872459411621094,0.0036118030548095703
24,16,184.37245631217957,190.1192238330841,232.45016384124756,199.6506850719452,22.907068252563477,22.917991161346436,23.137694120407104,23.075207233428955,0.0039958953857421875,0.004041910171508789
60,16,178.0534634590149,141.7186667919159,187.37986254692078,190.2905924320221,11.49536418914795,14.365605354309082,17.13745427131653,11.307300567626953,0.007624387741088867,0.007619619369506836
6,17,165.69265747070312,174.89349174499512,177.03547430038452,133.47583675384521,33.88457775115967,29.73690891265869,34.068358182907104,33.914950370788574,0.00575709342956543,0.00579524040222168
12,17,166.91134905815125,209.4621422290802,124.6585636138916,215.0368790626526,22.184215545654297,21.586788654327393,23.888687133789062,22.99269151687622,0.006564140319824219,0.0065610408782958984
24,17,196.84092712402344,227.9666998386383,217.43409705162048,217.43745231628418,14.586462259292603,21.469550371170044,22.301839590072632,14.709764957427979,0.0073549747467041016,0.007498264312744141
60,17,217.79667353630066,194.8434717655182,177.36805939674377,223.789293050766,15.495022773742676,15.952387809753418,15.613969802856445,16.22252321243286,0.008201122283935547,0.00821685791015625
6,18,153.47038793563843,150.1438627243042,150.34048891067505,158.6451461315155,18.687631130218506,31.65170168876648,19.179221391677856,26.283203601837158,0.005713462829589844,0.005763053894042969
12,18,207.63752007484436,264.5684189796448,260.36560320854187,229.45908188819885,35.76852536201477,31.954779386520386,34.94570803642273,34.61351466178894,0.006326198577880859,0.006383419036865234
24,18,164.6860511302948,195.7324869632721,190.92860507965088,203.60818910598755,17.956982612609863,13.589183807373047,16.83812117576599,14.790331363677979,0.00721430778503418,0.007231235504150391
60,18,131.60214567184448,136.42527723312378,215.2145869731903,138.40904188156128,13.601494073867798,13.62353801727295,13.670030355453491,13.671351432800293,0.004336118698120117,0.00429081916809082
6,19,143.77360916137695,239.8351662158966,221.21659803390503,234.49628829956055,32.750614166259766,32.794227838516235,24.65636134147644,33.084542751312256,0.005711555480957031,0.005749702453613281
12,19,239.93340420722961,217.17310881614685,183.35368275642395,177.11201882362366,19.420557260513306,29.11115074157715,21.821703910827637,19.432029485702515,0.003583192825317383,0.0036287307739257812
24,19,213.38230872154236,226.54922556877136,153.0033700466156,224.88412737846375,21.83288025856018,21.79034161567688,21.970227241516113,21.891892910003662,0.007433891296386719,0.007494926452636719
60,19,172.09099912643433,193.79859447479248,221.38916635513306,219.07885694503784,8.471758604049683,14.198796272277832,11.372992038726807,9.057440996170044,0.007687568664550781,0.007779598236083984
6,20,211.79122233390808,212.2121353149414,189.02032208442688,179.25668787956238,22.701713800430298,35.157933712005615,34.70409297943115,25.35468864440918,0.005543708801269531,0.005608081817626953
12,20,219.43601989746094,232.118661403656,195.67452383041382,257.459495306015,32.989174365997314,32.93053913116455,33.27313423156738,33.228888750076294,0.0065000057220458984,0.006548404693603516
