sample_size,trial,mi_empirical,mi_miller,mi_chao
1024,19,1.0,0.79638671875,0.7713914323493731
1024,20,1.0,0.79833984375,0.8338421563158825
1024,21,1.0,0.79931640625,0.8774634581051369
1024,22,1.0,0.79833984375,0.8422511324889086
1024,23,1.0,0.798828125,0.8431930983877453
1024,24,1.0,0.802734375,0.8488220200229247
1024,25,1.0,0.796875,0.807934047220288
1024,26,1.0,0.80029296875,0.8311528805304071
1024,27,1.0,0.8017578125,0.8384568440518589
1024,28,1.0,0.794921875,0.8502327472138446
1024,29,1.0,0.80029296875,0.8446788766171989
2048,0,1.0,0.880615234375,0.854865441288919
2048,1,1.0,0.884033203125,0.887676252253209
2048,2,1.0,0.881591796875,0.903572564612027
2048,3,1.0,0.8828125,0.9017635806568446
2048,4,1.0,0.882080078125,0.9245828251609961
2048,5,1.0,0.884521484375,0.910438189604697
2048,6,1.0,0.884521484375,0.9125130661977269
2048,7,1.0,0.88330078125,0.9006009084024006
2048,8,1.0,0.883056640625,0.9015811869542404
2048,9,1.0,0.884033203125,0.8729709925430079
2048,10,1.0,0.885986328125,0.931146622059213
2048,11,1.0,0.884521484375,0.9159846479153804
2048,12,1.0,0.88427734375,0.9038018143092319
2048,13,1.0,0.88330078125,0.9232470476761633
2048,14,1.0,0.88232421875,0.8874576870814073
2048,15,1.0,0.882568359375,0.9356845293126786
2048,16,1.0,0.883544921875,0.9255266877777691
2048,17,1.0,0.88427734375,0.9016043336118877
2048,18,1.0,0.88427734375,0.9084010923107284
2048,19,1.0,0.8837890625,0.8979393133021046
2048,20,1.0,0.88623046875,0.8951036139918087
2048,21,1.0,0.885009765625,0.9199321487267209
2048,22,1.0,0.884033203125,0.8967065736469785
2048,23,1.0,0.884033203125,0.9196941726067794
2048,24,1.0,0.880126953125,0.9002433243785154
2048,25,1.0,0.88671875,0.8946886930688399
2048,26,1.0,0.8828125,0.8955528588181679
2048,27,1.0,0.88134765625,0.9027347394088904
2048,28,1.0,0.884033203125,0.8691289991876662
2048,29,1.0,0.88330078125,0.9129705383434381
4096,0,1.0,0.9351806640625,0.9873105971240034
4096,1,1.0,0.9361572265625,0.9893321355583728
4096,2,1.0,0.935546875,0.9229274543760704
4096,3,1.0,0.936279296875,0.9885908300902354
4096,4,1.0,0.9334716796875,0.9926998967016493
4096,5,1.0,0.9339599609375,0.9474008182044592
4096,6,1.0,0.934326171875,0.9656227642447867
4096,7,1.0,0.934326171875,0.9927581580152677
4096,8,1.0,0.935791015625,0.9910915327767835
4096,9,1.0,0.9356689453125,0.9881929387239079
4096,10,1.0,0.934326171875,0.9903440124144269
4096,11,1.0,0.9368896484375,0.9889471043472216
4096,12,1.0,0.9349365234375,0.9915807089252435
4096,13,1.0,0.9356689453125,0.9933762895157695
4096,14,1.0,0.9351806640625,0.9914351043888092
4096,15,1.0,0.9349365234375,0.990259721467123
4096,16,1.0,0.9346923828125,0.9908930966359131
4096,17,1.0,0.9346923828125,0.9931575591367945
4096,18,1.0,0.9342041015625,0.9464583367827865
4096,19,1.0,0.935546875,0.9928163074026815
4096,20,1.0,0.9345703125,0.9918768098277957
4096,21,1.0,0.93505859375,0.9876793619226494
4096,22,1.0,0.9364013671875,0.9895201585703339
4096,23,1.0,0.9356689453125,0.9880837641919092
4096,24,1.0,0.933837890625,0.9890573347922254
4096,25,1.0,0.935791015625,0.9892153548715156
4096,26,1.0,0.935791015625,0.9906414894040972
4096,27,1.0,0.936767578125,0.9902794297403436
4096,28,1.0,0.935791015625,0.9880542541758569
4096,29,1.0,0.935302734375,0.9934709160044394
8192,0,1.0,0.96478271484375,0.9987119701127063
8192,1,1.0,0.96514892578125,0.9990732408415567
8192,2,1.0,0.96356201171875,0.9932886978639597
8192,3,1.0,0.96417236328125,0.9953093278994969
8192,4,1.0,0.965087890625,0.9985168795304096
8192,5,1.0,0.964599609375,0.9985727531700259
8192,6,1.0,0.964599609375,0.9946661553902093
8192,7,1.0,0.96417236328125,0.9976405207665834
8192,8,1.0,0.9647216796875,0.995324193096233
8192,9,1.0,0.96417236328125,0.9938362460527624
8192,10,1.0,0.96466064453125,0.9953509443843918
8192,11,1.0,0.9642333984375,0.992371423434396
8192,12,1.0,0.96429443359375,0.9945772606157316
8192,13,1.0,0.96478271484375,0.9958721099922417
8192,14,1.0,0.9639892578125,0.9946555201299675
8192,15,1.0,0.9652099609375,0.9985434782681158
8192,16,1.0,0.9656982421875,0.9978138232789241
8192,17,1.0,0.964599609375,0.9939303193320128
8192,18,1.0,0.96380615234375,0.9973487478329165
8192,19,1.0,0.96453857421875,0.9987787622086769
8192,20,1.0,0.964599609375,0.9969199518026962
8192,21,1.0,0.96527099609375,0.9978942857654077
8192,22,1.0,0.96466064453125,0.993597160178192
8192,23,1.0,0.96453857421875,0.9955954617832349
8192,24,1.0,0.96466064453125,0.9957486670300282
8192,25,1.0,0.96441650390625,0.9964417452905738
8192,26,1.0,0.96484375,0.9985712364939273
8192,27,1.0,0.9647216796875,0.9985257100047022
8192,28,1.0,0.96478271484375,0.9969478865783623
8192,29,1.0,0.96466064453125,0.9957450375377013
16384,0,1.0,0.980712890625,0.9987401376355144
16384,1,1.0,0.980682373046875,0.999466957390421
16384,2,1.0,0.98101806640625,0.9994221791980008
16384,3,1.0,0.98089599609375,0.9993588322644427
16384,4,1.0,0.981201171875,0.9993265786928409
16384,5,1.0,0.9810791015625,0.9993879175174132
16384,6,1.0,0.98089599609375,0.9995134407961644
16384,7,1.0,0.981292724609375,0.9995167772280773
16384,8,1.0,0.980987548828125,0.9996752867740625
16384,9,1.0,0.9813232421875,0.9988897639794658
16384,10,1.0,0.981048583984375,0.9994434741843838
16384,11,1.0,0.980926513671875,0.9995421328041927
16384,12,1.0,0.98077392578125,0.9988863737353273
16384,13,1.0,0.98101806640625,0.9989454804213562
16384,14,1.0,0.98089599609375,0.9990181413461412
16384,15,1.0,0.980987548828125,0.9987022257114542
